base_name,true_cluster,cluster_size,status,matched_pred_label,overlap_size,pred_size
33gg,0,3,exact_match,t0|t1|t2,3,3
33gg,1,3,exact_match,t3|t4|t5,3,3
33gg,2,3,exact_match,t6|t7|t8,3,3
3clusters_3outliers,0,6,partial,t1|t10|t2|t4|t5,4,5
3clusters_3outliers,1,6,partial,t10|t6|t7|t8|t9,5,5
3clusters_3outliers,2,5,partial,t13|t14|t16,3,3
3clusters_3outliers,-1,1,partial,t17|t18|t9,1,3
3clusters_3outliers,-2,1,partial,t17|t18|t9,1,3
3clusters_3outliers,-3,1,partial,t11|t19|t7,1,3
44gg,0,3,partial,t0|t1|t2|t6|t7,3,5
44gg,1,3,partial,t2|t3|t4|t5|t9,3,5
44gg,2,3,partial,t10|t6|t7|t8,3,4
44gg,3,3,exact_match,t10|t11|t9,3,3
55gg,0,3,exact_match,t0|t1|t2,3,3
55gg,1,3,exact_match,t3|t4|t5,3,3
55gg,2,3,partial,t13|t6|t7|t8,3,4
55gg,3,3,partial,t0|t10|t11|t9,3,4
55gg,4,3,partial,t12|t13|t14|t5,3,4
base_menor,0,3,partial,t0|t1|t2|t3|t5,3,5
base_menor,1,2,partial,t3|t4|t5,2,3
base_menor,2,2,exact_match,t5|t6,2,2
base_menor,-1,1,partial,t0|t7,1,2
base_menor_2_grupos,0,3,partial,t0|t1|t2|t3,3,4
base_menor_2_grupos,1,2,partial,t1|t3|t4,2,3
base_menor_2_grupos,-1,1,partial,t3|t5,1,2
base_menor_2_grupos_s_o,0,3,exact_match,t0|t1|t2,3,3
base_menor_2_grupos_s_o,1,2,exact_match,t3|t4,2,2
